
"Ss_60_40_13","Climatic Ceiling And Beam Systems","Ss_60_40"
"Ss_60_40_13_13","Climatic Beam Systems","Ss_60_40_13"
"Ss_60_40_13_14","Climatic Ceiling Systems","Ss_60_40_13"
"Ss_60_40_17","Cooling Systems","Ss_60_40"
"Ss_60_40_17_12","Chilled Water Systems","Ss_60_40_17"
"Ss_60_40_17_21","District Cooling Systems","Ss_60_40_17"
"Ss_60_40_17_71","Refrigerant Cooling Systems","Ss_60_40_17"
"Ss_60_40_17_94","Variable Refrigerant Flow Systems","Ss_60_40_17"
"Ss_60_40_17_96","Water Cooling Systems","Ss_60_40_17"
"Ss_60_40_36","Heat Pump Systems","Ss_60_40"
"Ss_60_40_36_05","Air Source Heat Pump Systems","Ss_60_40_36"
"Ss_60_40_36_35","Ground Source Heat Pump Systems","Ss_60_40_36"
"Ss_60_40_36_96","Water Source Heat Pump Systems","Ss_60_40_36"
"Ss_60_40_37","Heating Systems","Ss_60_40"
"Ss_60_40_37_21","Direct Gas Fired Heating Systems","Ss_60_40_37"
"Ss_60_40_37_22","District Heating Systems","Ss_60_40_37"
"Ss_60_40_37_26","Electric Heating Systems","Ss_60_40_37"
"Ss_60_40_37_48","Low Temperature Hot Water Heating Systems","Ss_60_40_37"
"Ss_60_40_37_51","Medium Temperature Hot Water Heating Systems","Ss_60_40_37"
"Ss_60_40_37_81","Solar Heating Systems","Ss_60_40_37"
"Ss_60_40_37_85","Steam Heating Systems","Ss_60_40_37"
"Ss_60_40_84","Space Heating And Cooling Distribution Network Systems","Ss_60_40"
"Ss_60_40_84_21","District Cooling Distribution Network Systems","Ss_60_40_84"
"Ss_60_40_84_22","District Heating Distribution Network Systems","Ss_60_40_84"
"Ss_60_60","Refrigeration Systems","Ss_60"
"Ss_60_60_15","Cold Room Systems","Ss_60_60"
"Ss_60_60_15_10","Catering Cold Room Systems","Ss_60_60_15"
"Ss_60_60_15_50","Mortuary Cold Room Systems","Ss_60_60_15"
"Ss_60_60_17","Cold Storage Systems","Ss_60_60"
"Ss_60_80","Drying Systems","Ss_60"
"Ss_60_80_08","Bottle And Can Drying Systems","Ss_60_80"
"Ss_60_95","Temporary Heating, Cooling And Refrigeration Systems","Ss_60"
"Ss_65","Ventilation And Air Conditioning Systems","Ss"
"Ss_65_10","Extraction Systems","Ss_65"
"Ss_65_10_25","Dust Extract Systems","Ss_65_10"
"Ss_65_10_32","Fume Extract Systems","Ss_65_10"
"Ss_65_10_32_32","Fume Cupboard Extract Systems","Ss_65_10_32"
"Ss_65_10_32_70","Recirculatory Fume Cupboards Systems","Ss_65_10_32"
"Ss_65_10_32_75","Safety Cabinet Extract Systems","Ss_65_10_32"
"Ss_65_10_42","Industrial Fume Extract Systems","Ss_65_10"
"Ss_65_10_42_45","Local Exhaust Ventilation Systems","Ss_65_10_42"
"Ss_65_10_42_95","Vehicle Exhaust Extract Systems","Ss_65_10_42"
"Ss_65_10_80","Smoke Extract And Control Systems","Ss_65_10"
"Ss_65_10_80_65","Pressure Differential Systems","Ss_65_10_80"
"Ss_65_10_80_80","Smoke And Heat Exhaust Ventilation Systems","Ss_65_10_80"
"Ss_65_10_85","Stale Air Extract Systems","Ss_65_10"
"Ss_65_10_85_33","General Space Extract Ventilation Systems","Ss_65_10_85"
"Ss_65_10_85_45","Kitchen Extract Ventilation Systems","Ss_65_10_85"
"Ss_65_10_85_90","Toilet Extract Ventilation Systems","Ss_65_10_85"
"Ss_65_40","Ventilation Systems","Ss_65"
"Ss_65_40_33","General Space Ventilation Systems","Ss_65_40"
"Ss_65_40_33_51","Mechanical Supply Ventilation Systems","Ss_65_40_33"
"Ss_65_40_33_56","Natural Ventilation Systems","Ss_65_40_33"
"Ss_65_40_94","Vehicular Space Ventilation Systems","Ss_65_40"
"Ss_65_40_94_11","Car Park Ventilation Systems","Ss_65_40_94"
"Ss_65_40_94_91","Tunnel Ventilation Systems","Ss_65_40_94"
"Ss_65_60","Specialist Ventilation Systems","Ss_65"
"Ss_65_60_53","Nuclear Containment Systems","Ss_65_60"
"Ss_65_60_55","Nuclear Ventilation Systems","Ss_65_60"
"Ss_65_60_95","Wind Tunnel Systems","Ss_65_60"
"Ss_65_80","Air Conditioning Systems","Ss_65"
"Ss_65_80_05","Air Conditioning Systems","Ss_65_80"
"Ss_65_80_05_10","Centralized All-Air Conditioning Systems","Ss_65_80_05"
"Ss_65_80_05_30","Fan Coil Unit Air Conditioning Systems","Ss_65_80_05"
"Ss_65_80_05_40","Induction Unit Air Conditioning Systems","Ss_65_80_05"
"Ss_65_80_15","Controlled Environment Systems","Ss_65_80"
"Ss_65_80_45","Local Air Conditioning Systems","Ss_65_80"
"Ss_65_80_45_25","Evaporative Cooling Systems","Ss_65_80_45"
"Ss_65_80_45_48","Local Underfloor Air Conditioning Systems","Ss_65_80_45"
"Ss_65_80_45_72","Room Air Conditioning Systems","Ss_65_80_45"
"Ss_65_95","Temporary Ventilation And Air Conditioning Systems","Ss_65"
"Ss_70","Electrical Systems","Ss"
"Ss_70_10","Electrical And Kinetic Power Generation Systems","Ss_70"
"Ss_70_10_30","Fossil Fuel Power Generation Systems","Ss_70_10"
"Ss_70_10_30_70","Reciprocating Internal Combustion Engine-Driven Alternating Current Generator Systems","Ss_70_10_30"
"Ss_70_10_32","Geothermal Power Generation Systems","Ss_70_10"
"Ss_70_10_32_80","Small-Scale Geothermal Power Generation Systems","Ss_70_10_32"
"Ss_70_10_35","Gravity Power Generation Systems","Ss_70_10"
"Ss_70_10_35_80","Small-Scale Hydroelectric Power Generation Systems","Ss_70_10_35"
"Ss_70_10_35_96","Water Mill Systems","Ss_70_10_35"
"Ss_70_10_35_97","Water Turbine Systems","Ss_70_10_35"
"Ss_70_10_55","Nuclear Power Generation Systems","Ss_70_10"
"Ss_70_10_55_80","Small-Scale Nuclear Power Generation Systems","Ss_70_10_55"
"Ss_70_10_80","Solar Power Generation Systems","Ss_70_10"
"Ss_70_10_80_35","Grid-Connected Photovoltaic Systems","Ss_70_10_80"
"Ss_70_10_80_85","Stand-Alone Photovoltaic Systems","Ss_70_10_80"
"Ss_70_10_96","Wave And Tidal Power Generation Systems","Ss_70_10"
"Ss_70_10_96_80","Small-Scale Wave And Tidal Power Generation Systems","Ss_70_10_96"
"Ss_70_10_97","Wind Power Generation Systems","Ss_70_10"
"Ss_70_10_97_80","Small-Scale Wind Power Generation Systems","Ss_70_10_97"
"Ss_70_10_97_96","Wind Mill Systems","Ss_70_10_97"
"Ss_70_10_97_97","Wind Turbine Systems","Ss_70_10_97"
"Ss_70_30","Electricity Distribution And Transmission Systems","Ss_70"
"Ss_70_30_25","Earthing And Bonding Systems","Ss_70_30"
"Ss_70_30_25_25","Earthing And Bonding Systems","Ss_70_30_25"
"Ss_70_30_35","High-Voltage Distribution And Transmission Systems","Ss_70_30"
"Ss_70_30_35_35","High-Voltage Distribution Systems","Ss_70_30_35"
"Ss_70_30_40_xx","High-Voltage Transmission Systems","Ss_70_30_40"
"Ss_70_30_45","Low-Voltage Distribution And Transmission Systems","Ss_70_30"
"Ss_70_30_45_40","Low-Voltage Transmission Systems","Ss_70_30_45"
"Ss_70_30_45_45","Low-Voltage Distribution Systems","Ss_70_30_45"
"Ss_70_30_60","Overhead Traction Power Distribution Systems","Ss_70_30"
"Ss_70_30_80","Small Power Systems","Ss_70_30"
"Ss_70_30_80_35","Hard-Wired Low-Voltage Small Power Systems","Ss_70_30_80"
"Ss_70_30_80_45","Low-Voltage Small Power Systems With Prefabricated Wiring","Ss_70_30_80"
"Ss_70_30_90","Third Rail Traction Power Distribution Systems","Ss_70_30"
"Ss_70_60","Charging Systems","Ss_70"
"Ss_70_60_05","Aircraft Charging Systems","Ss_70_60"
"Ss_70_60_90","Vehicle Charging Systems","Ss_70_60"
"Ss_70_60_95","Vessel Charging Systems","Ss_70_60"
"Ss_70_80","Lighting Systems","Ss_70"
"Ss_70_80_25","External Lighting Systems","Ss_70_80"
"Ss_70_80_25_05","Amenity Lighting Systems","Ss_70_80_25"
"Ss_70_80_25_70","Roadway Lighting Systems","Ss_70_80_25"
"Ss_70_80_33","General Space Lighting Systems","Ss_70_80"
"Ss_70_80_33_12","Central Battery Supplied Emergency Lighting Systems","Ss_70_80_33"
"Ss_70_80_33_33","General Lighting Systems With Prefabricated Wiring","Ss_70_80_33"
"Ss_70_80_33_35","Hard-Wired General Lighting Systems","Ss_70_80_33"
"Ss_70_80_33_88","Theatrical/ Stage Lighting Systems","Ss_70_80_33"
"Ss_70_80_33_92","Underwater Lighting Systems","Ss_70_80_33"
"Ss_70_95","Temporary Electrical Systems","Ss_70"
"Ss_75","Communications, Security, Safety, Control And Protection Systems","Ss"
"Ss_75_10","Communications Systems","Ss_75"
"Ss_75_10_04","Aerial Communications Transmission Systems","Ss_75_10"
"Ss_75_10_15","Communications Interception Systems","Ss_75_10"
"Ss_75_10_21","Data Distribution And Telecommunications Systems","Ss_75_10"
"Ss_75_10_21_21","Data Distribution Systems","Ss_75_10_21"
"Ss_75_10_21_88","Telecommunications Systems","Ss_75_10_21"
"Ss_75_10_23","Directory Systems","Ss_75_10"
"Ss_75_10_42","Infrared And Radio Frequency Tracking Systems","Ss_75_10"
"Ss_75_10_46","Listening Systems","Ss_75_10"
"Ss_75_10_46_05","Audio-Frequency Induction-Loop Systems","Ss_75_10_46"
"Ss_75_10_46_42","Infrared Listening Systems","Ss_75_10_46"
"Ss_75_10_68","Public Communications Systems","Ss_75_10"
"Ss_75_10_68_02","Advertising Display Systems","Ss_75_10_68"
"Ss_75_10_68_13","Clock Systems","Ss_75_10_68"
"Ss_75_10_68_68","Public Address Systems","Ss_75_10_68"
"Ss_75_10_68_69","Queue Management Systems","Ss_75_10_68"
"Ss_75_10_70","Radio And Television Distribution Systems","Ss_75_10"
"Ss_75_10_70_70","Radio Distribution Systems","Ss_75_10_70"
"Ss_75_10_70_88","Television Distribution Systems","Ss_75_10_70"
"Ss_75_10_72","Roadside Emergency Communication Systems","Ss_75_10"
"Ss_75_10_88","Timing And Scoring Systems","Ss_75_10"
"Ss_75_10_88_05","Athletics Timing And Scoring Systems","Ss_75_10_88"
"Ss_75_10_88_86","Swimming Pool Timing And Scoring Systems","Ss_75_10_88"
"Ss_75_10_92","Trackside Emergency Communication Systems","Ss_75_10"
"Ss_75_10_94","Underground Communications Cable Transmission Systems","Ss_75_10"
"Ss_75_10_96","Undersea Communications Cable Transmission Systems","Ss_75_10"
"Ss_75_30","Signal Systems","Ss_75"
"Ss_75_30_05","Aerospace Signal Systems","Ss_75_30"
"Ss_75_30_10","Bridge Signal Systems","Ss_75_30"
"Ss_75_30_20","Dam Signal Systems","Ss_75_30"
"Ss_75_30_35","Highway Signal Systems","Ss_75_30"
"Ss_75_30_50","Marine Signal Systems","Ss_75_30"
"Ss_75_30_70","Railway Signal Systems","Ss_75_30"
"Ss_75_30_72","Road Signal Systems","Ss_75_30"
"Ss_75_30_90","Tramway Signal Systems","Ss_75_30"
"Ss_75_30_97","Waterway Signal Systems","Ss_75_30"
"Ss_75_40","Security Systems","Ss_75"
"Ss_75_40_02","Access Control Systems","Ss_75_40"
"Ss_75_40_02_05","Audio Intercom Systems","Ss_75_40_02"
"Ss_75_40_02_11","Card Access Control Systems","Ss_75_40_02"
"Ss_75_40_21","Detection, Warning And Alarm Systems","Ss_75_40"
"Ss_75_40_21_02","Aerospace Security Detection And Warning Systems","Ss_75_40_21"
"Ss_75_40_21_40","Intruder Detection And Alarm Systems","Ss_75_40_21"
"Ss_75_40_21_50","Marine And Waterway Security Detection And Warning Systems","Ss_75_40_21"
"Ss_75_40_53","Monitoring Systems","Ss_75_40"
"Ss_75_40_53_86","Surveillance Systems","Ss_75_40_53"
"Ss_75_50","Medical Safety Systems","Ss_75"
"Ss_75_50_11","Call And Alarm Systems","Ss_75_50"
"Ss_75_50_11_05","Assistance Call Systems","Ss_75_50_11"
"Ss_75_50_11_27","Emergency Voice Communication Systems","Ss_75_50_11"
"Ss_75_50_11_57","Nurse Call Systems","Ss_75_50_11"
"Ss_75_50_11_95","Voice Alarm Systems","Ss_75_50_11"
"Ss_75_50_35","Healthcare Imaging Systems","Ss_75_50"
"Ss_75_50_60","Patient Monitoring And Telemetry Systems","Ss_75_50"
"Ss_75_60","Environmental Safety Systems","Ss_75"
"Ss_75_60_25","Earthquake Warning Systems","Ss_75_60"
"Ss_75_60_28","Fire Detection And Alarm Systems","Ss_75_60"
"Ss_75_60_28_05","Aspirating Detection Systems","Ss_75_60_28"
"Ss_75_60_28_33","General Fire Detection And Alarm Systems","Ss_75_60_28"
"Ss_75_60_30","Flood Warning Systems","Ss_75_60"
"Ss_75_60_35","Gas Detection And Alarm Systems","Ss_75_60"
"Ss_75_60_35_30","Fixed Gas Detection And Alarm Systems","Ss_75_60_35"
"Ss_75_60_35_32","Flow Sample Gas Detection And Alarm Systems","Ss_75_60_35"
"Ss_75_60_50","Meteorological Detection And Warning Systems","Ss_75_60"
"Ss_75_60_52","Meteorological Instrumentation Systems","Ss_75_60"
"Ss_75_60_70","Radiation Detection And Alarm Systems","Ss_75_60"
"Ss_75_60_75","Seismic Instrumentation Systems","Ss_75_60"
"Ss_75_60_85","Structural Stress Instrumentation Systems","Ss_75_60"
"Ss_75_60_90","Tsunami Warning Systems","Ss_75_60"
"Ss_75_60_95","Volcanic Eruption Warning Systems","Ss_75_60"
"Ss_75_60_96","Water Detection And Alarm Systems","Ss_75_60"
"Ss_75_60_96_96","Water Leak Detection And Alarm Systems","Ss_75_60_96"
"Ss_75_60_96_97","Water Presence Detection And Alarm Systems","Ss_75_60_96"
"Ss_75_70","Control And Management Systems","Ss_75"
"Ss_75_70_05","Aerospace Control Systems","Ss_75_70"
"Ss_75_70_10","Bridge Control Systems","Ss_75_70"
"Ss_75_70_20","Dam Control Systems","Ss_75_70"
"Ss_75_70_35","Highway Control Systems","Ss_75_70"
"Ss_75_70_50","Marine Control Systems","Ss_75_70"
"Ss_75_70_52","Mechanical Engineering Services Control And Management Systems","Ss_75_70"
"Ss_75_70_52_02","Air Conditioning System Control Systems","Ss_75_70_52"
"Ss_75_70_52_15","Cooling System Control Systems","Ss_75_70_52"
"Ss_75_70_52_32","Fuel Supply System Control Systems","Ss_75_70_52"
"Ss_75_70_52_36","Heating System Control Systems","Ss_75_70_52"
"Ss_75_70_52_80","Smoke And Heat Detection Control Systems","Ss_75_70_52"
"Ss_75_70_52_94","Ventilation Control Systems","Ss_75_70_52"
"Ss_75_70_52_96","Water Supply Control Systems","Ss_75_70_52"
"Ss_75_70_54","Metering, Monitoring And Management Systems","Ss_75_70"
"Ss_75_70_54_10","Building Monitoring And Management Systems","Ss_75_70_54"
"Ss_75_70_54_25","Electricity Metering Systems","Ss_75_70_54"
"Ss_75_70_54_30","Fuel Metering Systems","Ss_75_70_54"
"Ss_75_70_54_95","Water Metering Systems","Ss_75_70_54"
"Ss_75_70_70","Railway Control Systems","Ss_75_70"
"Ss_75_70_72","Road Control Systems","Ss_75_70"
"Ss_75_70_90","Tramway Control Systems","Ss_75_70"
"Ss_75_70_97","Waterway Control Systems","Ss_75_70"
"Ss_75_80","Protection Systems","Ss_75"
"Ss_75_80_10","Cathodic Protection Systems","Ss_75_80"
"Ss_75_80_45","Lightning Protection Systems","Ss_75_80"
"Ss_75_80_45_45","Lightning Protection Systems","Ss_75_80_45"
"Ss_75_95","Temporary Communications, Security, Safety, Control And Protection Systems","Ss_75"
"Ss_80","Transport Systems","Ss"
"Ss_80_10","Cable Transport Systems","Ss_80"
"Ss_80_10_05","Aerial Tram Systems","Ss_80_10"
"Ss_80_10_10","Cable Car Systems","Ss_80_10"
"Ss_80_10_15","Chairlift Systems","Ss_80_10"
"Ss_80_10_30","Funicular Systems","Ss_80_10"
"Ss_80_10_35","Gondola Systems","Ss_80_10"
"Ss_80_10_70","Ropeway Tow Systems","Ss_80_10"
"Ss_80_10_85","Surface Lift Systems","Ss_80_10"
"Ss_80_20","Conveying Systems","Ss_80"
"Ss_80_20_05","Automatic Guided Vehicle Systems","Ss_80_20"
"Ss_80_20_06","Baggage Handling Systems","Ss_80_20"
"Ss_80_20_10","Bulk Material Conveying Systems","Ss_80_20"
"Ss_80_20_11","Cargo Handling Systems","Ss_80_20"
"Ss_80_20_23","Document Conveying Systems","Ss_80_20"
"Ss_80_20_23_65","Pneumatic Document Conveying Systems","Ss_80_20_23"
"Ss_80_20_60","Parcel Sorting Systems","Ss_80_20"
"Ss_80_20_62","People Conveying Systems","Ss_80_20"
"Ss_80_20_63","Piece Conveying Systems","Ss_80_20"
"Ss_80_20_65","Pneumatic Conveying Systems","Ss_80_20"
"Ss_80_20_96","Warehouse Conveying Systems","Ss_80_20"
"Ss_80_30","Crane And Hoist Systems","Ss_80"
"Ss_80_30_10","Bulk Handling Crane Systems","Ss_80_30"
"Ss_80_30_15","Container Handling Crane Systems","Ss_80_30"
"Ss_80_30_20","Derrick Systems","Ss_80_30"
"Ss_80_30_25","Dynamic Permanent Access And Safety Equipment Systems","Ss_80_30"
"Ss_80_30_25_30","Fixed Rig Suspended Access Systems","Ss_80_30_25"
"Ss_80_30_25_32","Gantry Access Systems","Ss_80_30_25"
"Ss_80_30_25_35","Guided Type Fall Arrest Systems","Ss_80_30_25"
"Ss_80_30_25_50","Mobile Rig Monorail Suspended Access Systems","Ss_80_30_25"
"Ss_80_30_25_52","Mobile Rig Tracked Suspended Access Systems","Ss_80_30_25"
"Ss_80_30_25_55","Mobile Rig Trackless Suspended Access Systems","Ss_80_30_25"
"Ss_80_30_25_75","Robotic Cleaning Systems","Ss_80_30_25"
"Ss_80_30_25_80","Single Point Anchorage Fall Arrest Systems","Ss_80_30_25"
"Ss_80_30_25_90","Travelling Ladder Access Systems","Ss_80_30_25"
"Ss_80_30_40","Hoist Systems","Ss_80_30"
"Ss_80_30_45","Industrial Crane Systems","Ss_80_30"
"Ss_80_40_62_28","Escalator Systems","Ss_80_40_62"
"Ss_80_40_62_53","Moving Walk Systems","Ss_80_40_62"
"Ss_80_50","Lift Systems","Ss_80"
"Ss_80_50_60","Passenger And Goods Lift Systems","Ss_80_50"
"Ss_80_50_60_26","Electric Lift Systems","Ss_80_50_60"
"Ss_80_50_60_39","Hydraulic Lift Systems","Ss_80_50_60"
"Ss_80_50_60_42","Inclined Stairlift Systems","Ss_80_50_60"
"Ss_80_50_60_50","Manual Dumbwaiter Systems","Ss_80_50_60"
"Ss_80_50_60_60","Paternoster Systems","Ss_80_50_60"
"Ss_80_50_60_94","Vertical Platform Lift Systems","Ss_80_50_60"
"Ss_80_50_94","Vehicle And Boat Stacking Systems","Ss_80_50"
"Ss_80_50_96","Warehouse Stacking Systems","Ss_80_50"
"Ss_80_60","Operable Bridge Systems","Ss_80"
"Ss_80_60_05","Bascule Bridge Systems","Ss_80_60"
"Ss_80_60_10","Cantilever Bridge Systems","Ss_80_60"
"Ss_80_60_25","Drawbridge Systems","Ss_80_60"
"Ss_80_60_30","Floating Bridge Systems","Ss_80_60"
"Ss_80_60_70","Retractable Bridge Systems","Ss_80_60"
"Ss_80_60_75","Rotating Bridge Systems","Ss_80_60"
"Ss_80_60_85","Swing Bridge Systems","Ss_80_60"
"Ss_80_60_90","Transporter Bridge Systems","Ss_80_60"
"Ss_80_60_95","Vertical Lift Bridge Systems","Ss_80_60"
"Ss_80_70","Track Systems","Ss_80"
"Ss_80_70_50","Monorail Systems","Ss_80_70"
"Ss_80_70_70","Rail Track Systems","Ss_80_70"
"Ss_80_80","Turntable Systems","Ss_80"
"Ss_80_80_20","Display Turntable Systems","Ss_80_80"
"Ss_80_80_30","Floor Turntable Systems","Ss_80_80"
"Ss_80_80_40","Industrial Turntable Systems","Ss_80_80"
"Ss_80_80_70","Railway Turntable Systems","Ss_80_80"
"Ss_80_80_85","Stage Turntable Systems","Ss_80_80"
"Ss_80_90","Vehicle Access Systems","Ss_80"
"Ss_80_90_05","Aircraft Passenger Loading Bridge Systems","Ss_80_90"
"Ss_80_90_70","Rocket Passenger Access Systems","Ss_80_90"
"Ss_80_90_75","Ship Passenger Loading Bridge Systems","Ss_80_90"
"Ss_80_95","Temporary Transport Systems","Ss_80"
"Ss_85","Process Engineering Systems","Ss"
"Ss_85_72","Robotic Systems","Ss_85"
"Ss_85_95","Temporary Process Engineering Systems","Ss_85"
"Ss_90","Soft Facility Management Systems","Ss"
"Ss_90_05","Demand For Space","Ss_90"
"Ss_90_06","Demand For Technical Infrastructure","Ss_90"
"Ss_90_07","Demand For Cleaning","Ss_90"
"Ss_90_08","Demand Related To Outdoor Space","Ss_90"
"Ss_90_09","Workplace-Related Demand","Ss_90"
"Ss_90_10","Specific Demand Related To Space And Infrastructure","Ss_90"
"Ss_90_11","Demand For Health, Safety And Security","Ss_90"
"Ss_90_12","Hospitality Demands","Ss_90"
"Ss_90_13","Demand For Information And Communication","Ss_90"
"Ss_90_14","Demand For Logistics","Ss_90"
"Ss_90_15","Demand For Integrated Management, Consultancy And Administration","Ss_90"
"Ss_90_20","Specific Demand Of Administrative, Commercial And Protective Service Organizations","Ss_90"
"Ss_90_25","Specific Demand Of Cultural, Educational, Scientific And Information Organizations","Ss_90"
"Ss_90_30","Specific Demand Of Industrial Organizations","Ss_90"
"Ss_90_35","Specific Demand Of Medical, Health, Welfare And Sanitary Organizations","Ss_90"
"Ss_90_40","Specific Demand Of Recreational Organizations","Ss_90"
"Ss_90_45","Specific Demand Of Residential Organizations","Ss_90"
"Ss_90_50","Specific Demand Of Disposal Organizations","Ss_90"
"Ss_90_55","Specific Demand Of Piped Supply Organizations","Ss_90"
"Ss_90_60","Specific Demand Of Heating, Cooling And Refrigeration Organizations","Ss_90"
"Ss_90_65","Specific Demand Of Ventilation And Air Conditioning Organizations","Ss_90"
"Ss_90_70","Specific Demand Of Electrical Organizations","Ss_90"
"Ss_90_75","Specific Demand Of Communications, Security, Safety And Protection Organizations","Ss_90"
"Ss_90_80","Specific Demand Of Rail Organizations","Ss_90"
"Ss_90_81","Specific Demand Of Road Organizations","Ss_90"
"Ss_90_82","Specific Demand Of Marine And Waterway Organizations","Ss_90"
"Ss_90_83","Specific Demand Of Cable Transport Organizations","Ss_90"
"Ss_90_84","Specific Demand Of Aerospace Organizations","Ss_90"
